entryURN,image
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.33,"urn:cite:bnf:coislin345img.Coislin345_img48@0.3183,0.1479,0.1491,0.0213"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.34,"urn:cite:bnf:coislin345img.Coislin345_img48@0.1181,0.1432,0.6507,0.0466"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.35,"urn:cite:bnf:coislin345img.Coislin345_img48@0.1071,0.1599,0.6496,0.0486"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.36,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0651,0.2045,0.5075,0.0266"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.37,"urn:cite:bnf:coislin345img.Coislin345_img48@0.5856,0.1972,0.1682,0.0253"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.38,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0671,0.2272,0.2342,0.0213"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.39,"urn:cite:bnf:coislin345img.Coislin345_img48@0.1241,0.2199,0.6416,0.0493"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.40,"urn:cite:bnf:coislin345img.Coislin345_img48@0.1441,0.2398,0.5075,0.0273"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.41,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0691,0.2572,0.6897,0.0453"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.42,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0681,0.2938,0.7107,0.0313"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.43,"urn:cite:bnf:coislin345img.Coislin345_img48@0.6587,0.2951,0.1281,0.0406"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.44,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0711,0.3145,0.6146,0.0466"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.45,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0681,0.3558,0.7167,0.0446"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.46,"urn:cite:bnf:coislin345img.Coislin345_img48@0.4074,0.3711,0.3914,0.04"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.47,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0751,0.3931,0.4154,0.0293"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.48,"urn:cite:bnf:coislin345img.Coislin345_img48@0.5055,0.3884,0.2332,0.0293"
