Batrach,paraphrase,line
καθοπλίζεσθαι,ἅπαντας ἐνόπλους γενέσθαι,160
κάκιστε,πονηρότατε,95
κάκιστοι,πονηρότατοι,149
κακοῖο,χαλεποῦ,201
καλαμοστεφέων,,127
καλέσας,συγκαλέσας,168
καλεῦνται,ὀνομάζονται,298
καλόν,εὐειδῆ,21
καλύβηι,καλύβηι,30
ἐκάλυπτε,περιεκάλυπτε,165
καλύψαι,καλύψαι,61
κάλυψεν,περιεκάλυψεν,231
καμοῦσα,πονήσασα,182
κάρηνα,κεφαλάς,165
κατάκρημνος,κρημνώδης καὶ κατάντης,154
καταλείπειν,καταλείπειν,85
κατέδυ,κατεβαπτίσθη,84
κατέδυνεν,κατεβαπτίζετο,89
κατεῖδε,ἐθεάσατο,11
κατεῖδεν,ἐθεάσατο,99
κατεῖδον,ἐθεασάμην,147
κατεκείμην,κατεκείμην,191
κατέτριζε,διεγόγγυζε,88
κατέτρωξαν,κατέφαγον,126
κατέτρωξαν,κατέφαγον,182
κείμενον,κείμενον,240
ἐκέλευεν,ἐκέλευσε,262
κεφαλήν,κεφαλήν,192
κῆρα,θανατηφόρον μοῖραν,86
κικλήσκομαι,ὀνομάζομαι,27
κίνδυνον,κίνδυνον,9
κινήσας,κινήσας,271
ἐκλύζετο,κατεβρέχετο,76
κνημῖδας,κνημῖδας,124
κνήμας,κνήμας,161
κνήμη,κνήμη,242
κνίσηι,λίπει,176
ἐκόνισεν,τῆι κόνει,204
ἔκοπτον,ἔτεμνον,299
κόρυς,,131
ἐκόρυσσεν,,123
κοσμήσαντες,στείλαντες,153
κοσμοῦντες,σκευάζοντες καὶ ἀρτύοντες,41
κοῦρος,υἵος,27
κράτει,ἔχου,62
κρατερούς,ἀνδρείους,169
κρατήσας,περιλαβών,233
Κρονίδης,ὁ τοῦ Κρόνου υἱός,177
Κρονίων,ὁ τοῦ Κρόνου υἱός,292
κροτάφοις,κροτάφοις,131
ἔκρυψ,ἔθρεψε,30
ἔκτεινεν,ἀνεῖλε,230
κυάμους,κυάμους,125
διὰ κύματος,διὰ θαλάσσης,79
κώνωπες,κώνωπες,199
λακτίζων,πλήττων τοῖς ποσὶν,90
λεπτῶν,λεπτοτέρων,165
λέπυρον,,131
λευκοχίτωνα,λίπος λευκὸν οἷον χιτῶνα περιβεβλημένα,37 
λευκῶι,λευκῶι,81
λόγχαι,δόρατα,300
λοξοβάται,πλαγίως πορευόμενοι,295
λήθει,λανθάνει,34
λήσεις,λήσεις,93
λίμνηι,λίμνηι,10
λίμνην,λίμνην,17
λιμνόχαρις,ὁ κατὰ λίμνην χαίρων,12
λίχνον,πίνων,10
λόγος,λόγος,144
λόγχας,δόρατα,167
λόγχη,δόρατα,129
μάκαρες,θεοί,39
