Homeric,Paraphrase,Example
ἡμιπέλεκκα,,23.851
ἡμιπέλεκκα,,23.858
ἡμιπέλεκκα,,23.883
ἥμονες,,23.886
ἠοῦς,ἕωθεν,8.470 
ἠοῦς,ἡμέρας,8.508
ἠοῦς,σῶος,8.524
ἠριγενείης,τῆς γεννώσης τὸν ὄρθρον,8.508
ἠρίον,,23.126
ἠώς,ἡμέρα,1.493
ἠὼς,πρωΐα,8.66
ἠώς,ἡμέρα,24.12
ἠώς,ἡμέρα,24.31
ἠὼς,ἡμέρι,24.413
ἠὼς,ἡμέρα,24.417
θῖν',αἰγιαλόν,24.12
θοάς,ταχείας,24.1
θρῆνυν,πορθηθήσται?,15.729
θρυλίχθη,,23.396
θυήεις,εὐώδης θϋμϊαμενος,8.48
θυμὸν,ὀργὴ, "15.24,15.43"
ἶδε,ἐθεάσατο,15.6
ἴδῃ,μάθης,15.32
ἰδὼν,ἰδὼν,15.44
ἰέναι,πορευθῆναι,24.2
ἱερεὺς,ἱερεὺς,1.370
ἱερὰ,ἱερεῖα,1.147
ἱερὴ,μεγάλη,15.39
ἱερῆα,ἱερέα,1.23 
ἱερῆα,ἱερέα,1.62
ἱερῆα,ἱερέα,1.377
ἱερῆες,μάντεις,24.221
ἱερὸν,θαυμαστὴ,8.66
ἱρὴ,ὑψηλη,24.27
Ἄργος ἐς ἱππόβοτον,εἰς τὴν ἱ̈ππότροφον πελοπόννης,15.30
ἴστω,γινωσκέτω,15.36
κακότεχνος,κακῶς τέχνασμενος,15.14
κασίγνητοί,ἀδελφοὶ,24.793
κασιγνήτοιο,ἀδελφοῦ,8.330 
κασιγνήτοισι,συγγενέσιν,15.545
κασίγνητον,ἀδελφὸν,15.436 
κασίγνητον,ἀδελφὸν,15.466
κασίγνητον,ἀδελφὸν,24.47
καταείνυσαν,,23.135
κεκαδησόμεθ᾽,φροντϊουμεν,8.353 
κήδε᾽,αἴτια,1.445 
κήδεται,φροντίζει,24.174
κήδετο,ἐφρόντιζε,1.56
κηδήσοντες,λϋπήσαντες,24.240
κηδομένη,φροντίζουσα,1.196
κηδομένη,φροντίζουσα,1.209 
κηδομένη,λυπουμένη,1.586
κηδομένη,λυπουμένη,24.104
κήδονται,φροντίζουσιν,24.422
κήδοντο,ἐφρόντισαν,24.750
κήδων,βλάπτων,24.542
κῆλα,βέλος πικρίαν ἔχον,1.53
κῆλα,φθαρτικὸν βέλος,1.383
κλέπτε,παραλογίζου,1.132
κλέψαι,κλέψαι,24.24 
κλέψαι,συγχωρήσωμεν,24.71
κλέψαι,κλέψαι,24.109
κληῗδα,κλείντων,24.455
κληῒς,κατακλεὶς,8.325
κληῗσ᾽,εὔκλειστος,24.318
κλῆρος,περιουσία,15.498
κλήρῳ,κλήρω,24.400
κλυτότοξον,τοξικὸν,15.55
κνίση,ἀναθυμίασις,1.317
κνίσῃ,λίπει,1.460
κνίσην,mon. deest,8.548 
κνίσης,θυμιάσεως,1.66
κνίσης,ἀναθϋμϊάσεως,24.70
κόνι,γῇ,24.18
κύμβαχον,κενὸν,15.536
λαοὶ,λαοὶ,24.1
λαοὺς,λαοὺς,15.15 
λέλυται,ἐξησθένησε,8.103
λέλυται,λέλϋται,24.599
λευκώλενος,λευκοβραχΐων,15.78 
λίσαι,παρακάλεσον,1.394
λίσσεθ᾽,παρεκάλει,15.660
λίσσεο,παρακάλει,24.467
λίσσετο,παρεκάλει,1.15
λίσσετο,παρεκάλει,1.374
λίσσομ᾽,παρακαλῶ,1.283
λίσσομαι,ἱκετεύω,1.174
λισσομένη,παρακαλοῦσα,1.502
λισσομένη,παρακαλοῦσα,8.372
λισσομένη,παρακαλοῦσα,15.77
λισσόμενος,παρακαλῶ,24.485
λύθη,δϊελΰθη,8.123
λύθη,παρελύθη,8.315
λύντο,παρελύθησαν,15.435
λύον,ἔλυον,24.576
ἔλυσα,ἐλϋτρωσάμην,24.593
λύσαθ',λύσατε,8.504
λῦσαι,λῦσαι,15.22
λῦσαι,λϋτρῶσαι,24.561
λύσαιτε,λυτρώσασθε,1.20
λῦσαν,διέλυσαν,1.305
λῦσαν,ἔλυσαν,8.433
λῦσαν,ἔλϋσαν,8.543
ἐλύσαο,ἐλϋτρώσω,24.685
λύσας,λύσας,8.50
λύσασθαι,λυτρώσασθαι,24.118
λύσασθαι,λϋτρώσασθαι,24.146
λύσασθαί,λυτρώσασθαί,24.175
λύσασθαι,λϋτρώσασθαι,24.195
λύσασθαι,λυτρώσασθαι,24.237
λῦσε,εἵλϋσεν,8.440
ἔλυσεν,παρέλυσε,8.291
ἔλυσεν,παρέλϋσεν,24.498
λύσῃ,ἀπολΰσῃ,24.76
λύσῃ,ἀπολΰση,24.116
λυσόμενός,λυτρωσόμενος,1.13
λυσόμενός,ἀπολυτρωσόμενος,1.372
λυσόμενος,λυτρωσόμενος,24.502
λῦσον,λύτρωσον,24.137
λῦσον,ἀπόλϋσον,24.555
λύσω,ἀπολύσω,1.29
λῦτο,διελύθη,24.1
μέδοντο,ἐφρόντιζον,24.2
μειλιχίῃ,πράους,15.741 
μεμνημένος,μεμνημένος,24.4
μένος,δύναμιν,24.6
μιμνησκόμενος,ὑπομιμνησκόμενος,24.9
μῦθον,λόγον,15.13
νεφεληγερέτα,τὰς νεφέλας ἀγείρων,8.469
νῆας,ναῦς,24.1
ὀλιγοδρανέων,ὀλίγον ἰσχΰων,15.246
Ὀλύμπιος,οὐράνιος,1.580
Ὀλύμπιος,οὐράνιος,1.589
Ὀλύμπιος,οὐράνιος,1.609
ὁμογάστριον,ὁμομήτριον,24.47
ὀνόσασθ᾽,ἐφήδεσθέ?,24.241
ὀνοσσάμενος,καταφρονήσας,24.439
ὀρθοκραιράων,ὀρθὰ κέρατα ἐχόντων,8.231
οὐλοχύτας,κανᾶ,1.449
οὐλοχύτας,κριθάς,1.458
οὖρον,οὐροφόρον ἄνεμον,1.479
οὖρος,φΰλαξ,8.80
οὖρος,φύλαξ,15.370
οὖρος,φύλαξ,15.659
πάθεν ἄλγεα,ἐκακοπάθησε,24.7
παλινάγρετον,παλισύλλεκτον,1.526
παναώριον,δΰσμορον,24.540
πανδαμάτωρ,πάντα δαμάζων,24.5
πάροιθ᾽,ἔμπροσθεν,1.360
πάροιθ᾽,ἔμπροσθεν,1.500
πάροιθε,ἔμπροσθεν,8.494
πάροιθ᾽,ἔμπροσθεν,15.154
πάροιθε,πρὸ τούτου,15.227
πείρων,διαπερῶν,24.8
ποθέων,ἐπιποθῶν,24.6
